time,BulkRi_hub,L_6p64m,L_24m
2024-06-17 06:30:00,1.7235,,
2024-06-17 06:40:00,-0.96265,-86.818,-200.43
2024-06-17 06:50:00,0.81719,-86.818,-200.43
2024-06-17 07:00:00,0.090409,-94.565,-93.241
2024-06-17 07:10:00,0.17067,-94.565,-93.241
2024-06-17 07:20:00,0.1117,-81.866,-170.75
2024-06-17 07:30:00,-0.064778,-81.866,-170.75
2024-06-17 07:40:00,0.10073,-81.866,-170.75
2024-06-17 07:50:00,0.21697,-80.469,
2024-06-17 08:00:00,0.28335,-80.469,
2024-06-17 08:10:00,0.59511,-92.809,-203.83
2024-06-17 08:20:00,0.32538,-92.809,-203.83
2024-06-17 08:30:00,-0.024431,-81.957,-61.088
2024-06-17 08:40:00,0.33908,-81.957,-61.088
2024-06-17 08:50:00,0.56479,-67.377,-171.64
2024-06-17 09:00:00,0.30525,-288.97,-368.08
2024-06-17 09:10:00,0.08041,-288.97,-368.08
2024-06-17 09:20:00,0.043105,-1397.4,-1936.2
2024-06-17 09:30:00,0.16618,-1397.4,-1936.2
2024-06-17 09:40:00,0.16487,-139.74,-131.28
2024-06-17 09:50:00,0.082892,-139.74,-131.28
2024-06-17 10:00:00,0.075053,-324.66,-1032.3
2024-06-17 10:10:00,0.41253,-324.66,-1032.3
2024-06-17 10:20:00,0.11749,-481.19,-1786.1
2024-06-17 10:30:00,0.28232,-481.19,-1786.1
2024-06-17 10:40:00,0.056924,-481.19,-1786.1
2024-06-17 10:50:00,0.1334,1156.8,-179.26
2024-06-17 11:00:00,0.089105,1156.8,-179.26
2024-06-17 11:10:00,0.16566,-444.27,612.28
2024-06-17 11:20:00,0.17618,-444.27,612.28
2024-06-17 11:30:00,0.12315,909.83,119.05
2024-06-17 11:40:00,0.18159,909.83,119.05
2024-06-17 11:50:00,0.18706,661.25,274.79
2024-06-17 12:00:00,0.16054,-206.97,-309.83
2024-06-17 12:10:00,0.19151,-206.97,-309.83
2024-06-17 12:20:00,0.29822,-308.14,-406.85
2024-06-17 12:30:00,0.39322,-308.14,-406.85
2024-06-17 12:40:00,0.31296,-260.01,-2124.6
2024-06-17 12:50:00,0.2597,-260.01,-2124.6
2024-06-17 13:00:00,0.24284,-207.85,-818.92
2024-06-17 13:10:00,0.79101,-207.85,-818.92
2024-06-17 13:20:00,0.39,,204.89
2024-06-17 13:30:00,0.24905,,204.89
2024-06-17 13:40:00,0.20549,,204.89
2024-06-17 13:50:00,0.13453,-971.96,1560.5
2024-06-17 14:00:00,0.23046,-971.96,1560.5
2024-06-17 14:10:00,0.1925,611.15,1008
2024-06-17 14:20:00,0.23927,611.15,1008
2024-06-17 14:30:00,0.24938,-760.27,774.72
2024-06-17 14:40:00,0.21598,-760.27,774.72
2024-06-17 14:50:00,0.23672,2002.9,199.56
2024-06-17 15:00:00,0.27905,282.15,99.931
2024-06-17 15:10:00,0.45032,282.15,99.931
2024-06-17 15:20:00,0.77299,-3716.4,285.27
2024-06-17 15:30:00,0.66863,-3716.4,285.27
2024-06-17 15:40:00,0.82544,-6243.2,345.28
2024-06-17 15:50:00,0.30677,-6243.2,345.28
2024-06-17 16:00:00,0.27632,-1646.4,420.12
2024-06-17 16:10:00,0.34446,-1646.4,420.12
2024-06-17 16:20:00,0.28433,-1044.3,674.82
2024-06-17 16:30:00,0.19233,-1044.3,674.82
2024-06-17 16:40:00,0.21691,-1044.3,674.82
2024-06-17 16:50:00,0.21256,-5262.9,411
2024-06-17 17:00:00,0.27716,-5262.9,411
2024-06-17 17:10:00,0.29365,1300.1,177.08
2024-06-17 17:20:00,0.14994,1300.1,177.08
2024-06-17 17:30:00,0.13103,657.89,195.74
2024-06-17 17:40:00,0.17805,657.89,195.74
2024-06-17 17:50:00,0.18462,372.48,216.61
2024-06-17 18:00:00,0.23027,295.09,218.7
2024-06-17 18:10:00,0.17107,295.09,218.7
2024-06-17 18:20:00,0.15938,157.41,137.36
2024-06-17 18:30:00,0.18031,157.41,137.36
2024-06-17 18:40:00,0.28997,158.32,95.642
2024-06-17 18:50:00,0.19061,158.32,95.642
2024-06-17 19:00:00,0.2257,159.2,134.03
2024-06-17 19:10:00,0.38954,159.2,134.03
2024-06-17 19:20:00,0.33359,174.21,78.796
2024-06-17 19:30:00,0.4556,174.21,78.796
2024-06-17 19:40:00,1.7536,174.21,78.796
2024-06-17 19:50:00,11.556,,
2024-06-17 20:00:00,7.7555,,
2024-06-17 20:10:00,3.6016,132.48,100.22
2024-06-17 20:20:00,2.3895,132.48,100.22
2024-06-17 20:30:00,6.0129,126.34,71.797
2024-06-17 20:40:00,3.2151,126.34,71.797
2024-06-17 20:50:00,11.061,89.879,64.411
2024-06-17 21:00:00,4.4423,105.41,70.216
2024-06-17 21:20:00,4.993,102.07,64.025
2024-06-17 21:30:00,3.7055,102.07,64.025
2024-06-17 21:40:00,1.4813,82.767,58.253
2024-06-17 21:50:00,1.7503,82.767,58.253
2024-06-17 22:00:00,1.377,81.487,41.316
2024-06-17 22:10:00,1.314,81.487,41.316
2024-06-17 22:20:00,0.84519,78.042,34.969
2024-06-17 22:30:00,1.0566,78.042,34.969
2024-06-17 22:40:00,1.3374,78.042,34.969
2024-06-17 22:50:00,1.3486,69.211,46.634
2024-06-17 23:00:00,1.1612,69.211,46.634
2024-06-17 23:10:00,0.36507,47.946,34.012
2024-06-17 23:20:00,0.2282,47.946,34.012
2024-06-17 23:30:00,0.16887,65.715,26.793
2024-06-17 23:40:00,0.23574,65.715,26.793
2024-06-17 23:50:00,0.18754,70.259,34.328
2024-06-18 00:00:00,0.17058,63.719,32.433
2024-06-18 00:10:00,0.12828,63.719,32.433
2024-06-18 00:20:00,0.12518,86.723,35.08
2024-06-18 00:30:00,0.13004,86.723,35.08
2024-06-18 00:40:00,0.15068,81.793,51.17
2024-06-18 00:50:00,0.22549,81.793,51.17
2024-06-18 01:00:00,0.27897,74.85,42.008
2024-06-18 01:10:00,0.5722,74.85,42.008
